Rank,Movie_name,Year,Certificate,Runtime_in_min,Genre,Rating_from_10
802,Flipped,I 2010,PG,90,"Comedy, Drama, Romance",7.7
803,The Girl Who Leapt Through Time,2006,TV-PG,98,"Animation, Adventure, Comedy",7.7
804,This Is England,2006,Not Rated,101,"Crime, Drama",7.7
805,Ex Machina,2014,R,108,"Drama, Sci-Fi, Thriller",7.7
806,After the Wedding,2006,R,120,Drama,7.7
807,Zodiac,2007,R,157,"Crime, Drama, Mystery",7.7
808,Lucky Number Slevin,2006,R,110,"Crime, Drama, Thriller",7.7
809,Joyeux Noel,2005,PG-13,116,"Drama, History, Music",7.7
810,Adam's Apples,2005,R,94,"Comedy, Crime, Drama",7.7
811,Tangled,2010,PG,100,"Animation, Adventure, Comedy",7.7
812,Black Book,2006,R,145,"Drama, Thriller, War",7.7
813,Brokeback Mountain,2005,R,134,"Drama, Romance",7.7
814,3:10 to Yuma,2007,R,122,"Action, Crime, Drama",7.7
815,Kung Fu Hustle,2004,R,99,"Action, Comedy, Fantasy",7.7
816,The Bourne Supremacy,2004,PG-13,108,"Action, Mystery, Thriller",7.7
817,The Machinist,2004,R,101,"Drama, Thriller",7.7
818,Ray,I 2004,PG-13,152,"Biography, Drama, Music",7.7
819,Evil,2003,Not Rated,113,Drama,7.7
820,Lost in Translation,2003,R,102,"Comedy, Drama",7.7
821,Harry Potter and the Goblet of Fire,2005,PG-13,157,"Adventure, Family, Fantasy",7.7
822,Man on Fire,2004,R,146,"Action, Crime, Drama",7.7
823,Coraline,2009,PG,100,"Animation, Drama, Family",7.7
824,The Magdalene Sisters,2002,R,114,Drama,7.7
825,Finding Neverland,2004,PG,106,"Biography, Drama, Family",7.7
826,Good Bye Lenin!,2003,R,121,"Comedy, Drama, Romance",7.7
827,In America,2002,PG-13,105,Drama,7.7
828,The Triplets of Belleville,2003,PG-13,80,"Animation, Adventure, Comedy",7.7
829,Adaptation.,2002,R,115,"Comedy, Drama",7.7
830,Black Hawk Down,2001,R,144,"Action, Drama, History",7.7
831,Road to Perdition,2002,R,117,"Crime, Drama, Thriller",7.7
832,The Experiment,2001,R,120,"Drama, Thriller",7.7
833,Billy Elliot,2000,R,110,"Drama, Music",7.7
834,Hedwig and the Angry Inch,2001,R,95,"Comedy, Drama, Music",7.7
835,The Count of Monte Cristo,2002,PG-13,131,"Action, Adventure, Drama",7.7
836,Y tu mamá también,2001,R,106,Drama,7.7
837,Waking Life,2001,R,99,"Animation, Drama, Fantasy",7.7
838,Ocean's Eleven,2001,PG-13,116,"Crime, Thriller",7.7
839,"O Brother, Where Art Thou?",2000,PG-13,107,"Adventure, Comedy, Crime",7.7
840,"South Park: Bigger, Longer & Uncut",1999,R,81,"Animation, Comedy, Fantasy",7.7
841,Office Space,1999,R,89,Comedy,7.7
842,Happiness,1998,NC-17,134,"Comedy, Drama",7.7
843,The Boondock Saints,1999,R,108,"Action, Thriller",7.7
844,Training Day,2001,R,122,"Action, Crime, Drama",7.7
845,Run Lola Run,1998,R,80,"Action, Crime, Thriller",7.7
846,Open Your Eyes,1997,R,119,"Drama, Mystery, Sci-Fi",7.7
847,Taste of Cherry,1997,Not Rated,95,Drama,7.7
848,As Good as It Gets,1997,PG-13,139,"Comedy, Drama, Romance",7.7
849,Fireworks,1997,,103,"Crime, Drama, Romance",7.7
850,The Game,1997,R,129,"Drama, Mystery, Thriller",7.7
851,Donnie Brasco,1997,R,127,"Biography, Crime, Drama",7.7
852,Happy Together,1997,Not Rated,96,"Drama, Romance",7.7
853,Primal Fear,1996,R,129,"Crime, Drama, Mystery",7.7
854,Sense and Sensibility,1995,PG,136,"Drama, Romance",7.7
855,Apollo 13,I 1995,PG,140,"Adventure, Drama, History",7.7
856,Clerks,1994,R,92,Comedy,7.7
857,What's Eating Gilbert Grape,1993,PG-13,118,Drama,7.7
858,Short Cuts,1993,R,188,"Comedy, Drama",7.7
859,Philadelphia,1993,PG-13,125,Drama,7.7
860,Naked,1993,Not Rated,131,"Comedy, Drama",7.7
861,The Muppet Christmas Carol,1992,G,85,"Comedy, Drama, Family",7.7
862,Malcolm X,1992,PG-13,202,"Biography, Drama, History",7.7
863,The Last of the Mohicans,1992,R,112,"Action, Adventure, Drama",7.7
864,Hard Boiled,1992,R,128,"Action, Crime, Thriller",7.7
865,Porco Rosso,1992,PG,94,"Animation, Adventure, Comedy",7.7
866,Glengarry Glen Ross,1992,R,100,"Crime, Drama, Mystery",7.7
867,A Few Good Men,1992,R,138,"Drama, Thriller",7.7
868,Night on Earth,1991,R,129,"Comedy, Drama",7.7
869,Fried Green Tomatoes,1991,PG-13,130,Drama,7.7
870,The Double Life of Véronique,1991,R,98,"Drama, Fantasy, Music",7.7
871,Dreams,1990,PG,119,"Drama, Fantasy",7.7
872,Miller's Crossing,1990,R,115,"Crime, Drama, Thriller",7.7
873,Home Alone,1990,PG,103,"Comedy, Family",7.7
874,When Harry Met Sally...,1989,R,95,"Comedy, Drama, Romance",7.7
875,Who Framed Roger Rabbit,1988,PG,104,"Animation, Adventure, Comedy",7.7
876,The Vanishing,1988,Not Rated,107,"Mystery, Thriller",7.7
877,The Last Emperor,1987,PG-13,163,"Biography, Drama, History",7.7
878,Evil Dead II,1987,R,84,"Comedy, Horror",7.7
879,Empire of the Sun,1987,PG,153,"Drama, War",7.7
880,The Name of the Rose,1986,R,130,"Drama, Mystery, Thriller",7.7
881,Down by Law,1986,R,107,"Comedy, Crime, Drama",7.7
882,Blue Velvet,1986,R,120,"Crime, Drama, Mystery",7.7
883,The Purple Rose of Cairo,1985,PG,82,"Comedy, Fantasy, Romance",7.7
884,The Goonies,1985,PG,114,"Adventure, Comedy, Family",7.7
885,The Color Purple,1985,PG-13,154,Drama,7.7
886,Zelig,1983,PG,79,Comedy,7.7
887,The Verdict,1982,R,129,Drama,7.7
888,Star Trek II: The Wrath of Khan,1982,PG,113,"Action, Adventure, Sci-Fi",7.7
889,First Blood,1982,R,93,"Action, Adventure, Thriller",7.7
890,Ordinary People,1980,R,124,Drama,7.7
891,Airplane!,1980,PG,88,Comedy,7.7
892,Halloween,1978,R,91,"Horror, Thriller",7.7
893,Love and Death,1975,PG,85,"Comedy, War",7.7
894,Blazing Saddles,1974,R,93,"Comedy, Western",7.7
895,Serpico,1973,R,130,"Biography, Crime, Drama",7.7
896,Fantastic Planet,1973,PG,72,"Animation, Sci-Fi",7.7
897,Badlands,1973,PG,94,"Action, Crime, Drama",7.7
898,Deliverance,1972,R,109,"Adventure, Drama, Thriller",7.7
899,The French Connection,1971,R,104,"Action, Crime, Drama",7.7
900,Dirty Harry,1971,R,102,"Action, Crime, Thriller",7.7
901,Wait Until Dark,1967,Not Rated,108,Thriller,7.7
902,The Dirty Dozen,1967,Approved,150,"Action, Adventure, War",7.7
903,Bonnie and Clyde,1967,R,111,"Action, Biography, Crime",7.7
904,Belle de Jour,1967,R,100,"Drama, Romance",7.7
905,A Man for All Seasons,1966,G,120,"Biography, Drama, History",7.7
906,Zulu,1964,Not Rated,138,"Drama, History, War",7.7
907,Goldfinger,1964,PG,110,"Action, Adventure, Thriller",7.7
908,The Longest Day,1962,G,178,"Action, Drama, History",7.7
909,Cape Fear,1962,Passed,106,"Drama, Thriller",7.7
910,Jules and Jim,1962,Not Rated,105,"Drama, Romance",7.7
911,The Magnificent Seven,1960,Approved,128,"Action, Adventure, Western",7.7
912,Breathless,1960,Not Rated,90,"Crime, Drama",7.7
913,Invasion of the Body Snatchers,1956,Approved,80,"Drama, Horror, Sci-Fi",7.7
914,The Caine Mutiny,1954,Not Rated,124,"Drama, War",7.7
915,The Quiet Man,1952,Passed,129,"Comedy, Drama, Romance",7.7
916,The African Queen,1951,PG,105,"Adventure, Drama, Romance",7.7
917,Key Largo,1948,Not Rated,100,"Action, Crime, Drama",7.7
918,Fantasia,1940,G,125,"Animation, Family, Fantasy",7.7
919,Scarface,1932,PG,93,"Action, Crime, Drama",7.7
920,Dark Waters,2019,PG-13,126,"Biography, Drama, History",7.6
921,The Mitchells vs the Machines,2021,PG,114,"Animation, Adventure, Comedy",7.6
922,Searching,III 2018,PG-13,102,"Drama, Horror, Mystery",7.6
923,Once Upon a Time in Hollywood,2019,R,161,"Comedy, Drama",7.6
924,Guardians of the Galaxy Vol. 2,2017,PG-13,136,"Action, Adventure, Comedy",7.6
925,Moana,I 2016,PG,107,"Animation, Adventure, Comedy",7.6
926,What We Do in the Shadows,2014,R,86,"Comedy, Horror",7.6
927,Sicario,2015,R,121,"Action, Crime, Drama",7.6
928,Leviathan,2014,R,140,"Crime, Drama",7.6
929,Hell or High Water,II 2016,R,102,"Crime, Drama, Thriller",7.6
930,Philomena,2013,PG-13,98,"Biography, Comedy, Drama",7.6
931,Dawn of the Planet of the Apes,2014,PG-13,130,"Action, Adventure, Drama",7.6
932,The Raid: Redemption,2011,R,101,"Action, Crime, Thriller",7.6
933,End of Watch,2012,R,109,"Action, Adventure, Crime",7.6
934,A Star Is Born,2018,R,136,"Drama, Music, Romance",7.6
935,True Grit,2010,PG-13,110,"Drama, Western",7.6
936,Despicable Me,2010,PG,95,"Animation, Adventure, Comedy",7.6
937,50/50,2011,R,100,"Comedy, Drama, Romance",7.6
938,Kick-Ass,2010,R,117,"Action, Comedy, Crime",7.6
939,Celda 211,2009,A,113,"Action, Crime, Drama",7.6
940,Moneyball,2011,PG-13,133,"Biography, Drama, Sport",7.6
941,The Skin I Live In,2011,R,120,"Drama, Horror, Mystery",7.6
942,The Blind Side,2009,PG-13,129,"Biography, Drama, Sport",7.6
943,Ponyo,2008,G,101,"Animation, Adventure, Comedy",7.6
944,Superbad,2007,R,113,Comedy,7.6
945,Seven Pounds,2008,PG-13,123,Drama,7.6
946,Eastern Promises,2007,R,100,"Crime, Drama, Thriller",7.6
947,Stardust,2007,PG-13,127,"Adventure, Family, Fantasy",7.6
948,United 93,2006,R,111,"Action, Drama, History",7.6
949,The Last King of Scotland,2006,R,123,"Biography, Drama, History",7.6
950,Inside Man,2006,R,129,"Crime, Drama, Mystery",7.6
951,Gone Baby Gone,2007,R,114,"Crime, Drama, Mystery",7.6
952,Kung Fu Panda,2008,PG,92,"Animation, Action, Adventure",7.6
953,Control,2007,R,122,"Biography, Drama, Music",7.6
954,300,2006,R,117,"Action, Drama",7.6
955,Match Point,2005,R,124,"Drama, Romance, Thriller",7.6
956,Watchmen,2009,R,162,"Action, Drama, Mystery",7.6
957,Saw,2004,R,103,"Horror, Mystery, Thriller",7.6
958,A Very Long Engagement,2004,R,133,"Drama, Mystery, Romance",7.6
959,The Station Agent,2003,R,89,"Comedy, Drama",7.6
960,21 Grams,2003,R,124,"Crime, Drama, Thriller",7.6
961,25th Hour,2002,R,135,Drama,7.6
962,The Butterfly Effect,2004,R,113,"Drama, Sci-Fi, Thriller",7.6
963,I Am Sam,2001,PG-13,132,Drama,7.6
964,The Royal Tenenbaums,2001,R,110,"Comedy, Drama",7.6
965,Harry Potter and the Sorcerer's Stone,2001,PG,152,"Adventure, Family, Fantasy",7.6
966,The Others,2001,PG-13,104,"Horror, Mystery, Thriller",7.6
967,Traffic,2000,R,147,"Crime, Drama, Thriller",7.6
968,Minority Report,2002,PG-13,145,"Action, Crime, Mystery",7.6
969,American Psycho,2000,R,102,"Crime, Drama, Horror",7.6
970,Rushmore,1998,R,93,"Comedy, Drama, Romance",7.6
971,Star Wars: Episode III - Revenge of the Sith,2005,PG-13,140,"Action, Adventure, Fantasy",7.6
972,The Thin Red Line,1998,R,170,"Drama, History, War",7.6
973,Mulan,1998,G,88,"Animation, Adventure, Comedy",7.6
974,The Fifth Element,1997,PG-13,126,"Action, Adventure, Sci-Fi",7.6
975,Dark City,1998,R,100,"Fantasy, Mystery, Sci-Fi",7.6
976,Shine,1996,PG-13,105,"Biography, Drama, Music",7.6
977,Die Hard with a Vengeance,1995,R,128,"Action, Adventure, Thriller",7.6
978,The Bridges of Madison County,1995,PG-13,135,"Drama, Romance",7.6
979,My Cousin Vinny,1992,R,120,"Comedy, Crime",7.6
980,Barton Fink,1991,R,116,"Comedy, Drama, Thriller",7.6
981,The Naked Gun: From the Files of Police Squad!,1988,PG-13,85,"Comedy, Crime",7.6
982,RoboCop,1987,R,102,"Action, Crime, Sci-Fi",7.6
983,Lethal Weapon,1987,R,109,"Action, Crime, Thriller",7.6
984,The Fly,1986,R,96,"Drama, Horror, Sci-Fi",7.6
985,After Hours,I 1985,R,97,"Comedy, Crime, Drama",7.6
986,The Road Warrior,1981,R,96,"Action, Adventure, Sci-Fi",7.6
987,Close Encounters of the Third Kind,1977,PG,138,"Drama, Sci-Fi",7.6
988,The Taking of Pelham One Two Three,1974,R,104,"Action, Crime, Thriller",7.6
989,Enter the Dragon,1973,R,102,"Action, Crime, Drama",7.6
990,The Odd Couple,1968,Passed,105,Comedy,7.6
991,The Jungle Book,1967,G,78,"Animation, Adventure, Comedy",7.6
992,Repulsion,1965,Not Rated,105,"Drama, Horror, Thriller",7.6
993,The Birds,1963,PG-13,119,"Drama, Horror, Mystery",7.6
994,Eyes Without a Face,1960,Not Rated,90,"Drama, Horror",7.6
995,Rebel Without a Cause,1955,PG-13,111,Drama,7.6
996,Sabrina,1954,Passed,113,"Comedy, Drama, Romance",7.6
997,From Here to Eternity,1953,Passed,118,"Drama, Romance, War",7.6
998,Snow White and the Seven Dwarfs,1937,Approved,83,"Animation, Adventure, Family",7.6
999,The 39 Steps,1935,Approved,86,"Crime, Mystery, Thriller",7.6
"1,000",The Invisible Man,1933,TV-PG,71,"Horror, Sci-Fi",7.6
